Province,District,Dengue_Cases,Month,Year,Date,City,Temp_Max_Mean,Temp_Min_Mean,Temp_Mean,Precipitation,Rain_Sum,Humidity_Proxy,Windspeed_Max,Latitude,Longitude,Temp_Mean_lag1,Temp_Mean_lag2,Temp_Mean_lag3,Temp_Mean_lag4,Rain_Sum_lag1,Rain_Sum_lag2,Rain_Sum_lag3,Rain_Sum_lag4,Humidity_Proxy_lag1,Humidity_Proxy_lag2,Humidity_Proxy_lag3,Humidity_Proxy_lag4,Rain_roll3,Temp_roll3,Month_sin,Month_cos,Cases_log,Risk_Label
Eastern,Ampara,4,8,2020,2020-08-01,Kalmunai,32.91612903225806,26.19677419354839,29.348387096774196,18.8,18.8,5.209677419354839,15.583870967741936,7.4000015,81.80002,28.83870967741936,29.67,29.203225806451613,28.646666666666665,73.5,40.6,89.2,50.7,4.492580645161291,4.718333333333334,4.526774193548388,5.03,44.300000000000004,29.28569892473119,-0.8660254037844385,-0.5000000000000004,1.6094379124341003,0
Eastern,Ampara,3,9,2020,2020-09-01,Kalmunai,31.186666666666667,25.886666666666667,28.133333333333333,106.2,106.2,4.222333333333333,11.936666666666667,7.4000015,81.80002,29.348387096774196,28.83870967741936,29.67,29.203225806451613,18.8,73.5,40.6,89.2,5.209677419354839,4.492580645161291,4.718333333333334,4.526774193548388,66.16666666666667,28.77347670250896,-1.0,-1.8369701987210297e-16,1.3862943611198906,0
Eastern,Ampara,3,10,2020,2020-10-01,Kalmunai,32.43225806451613,25.62903225806452,28.751612903225805,65.1,65.1,5.015806451612904,14.887096774193548,7.4000015,81.80002,28.133333333333333,29.348387096774196,28.83870967741936,29.67,106.2,18.8,73.5,40.6,4.222333333333333,5.209677419354839,4.492580645161291,4.718333333333334,63.366666666666674,28.744444444444444,-0.8660254037844386,0.5000000000000001,1.3862943611198906,0
Eastern,Ampara,5,11,2020,2020-11-01,Kalmunai,28.89,24.74333333333333,26.62333333333333,194.0,194.0,3.470333333333333,15.78,7.4000015,81.80002,28.751612903225805,28.133333333333333,29.348387096774196,28.83870967741936,65.1,106.2,18.8,73.5,5.015806451612904,4.222333333333333,5.209677419354839,4.492580645161291,121.76666666666667,27.836093189964156,-0.5000000000000004,0.8660254037844384,1.791759469228055,0
Eastern,Ampara,0,12,2020,2020-12-01,Kalmunai,27.37741935483871,24.21935483870968,25.758064516129032,433.6,433.6,2.980645161290323,17.309677419354838,7.4000015,81.80002,26.62333333333333,28.751612903225805,28.133333333333333,29.348387096774196,194.0,65.1,106.2,18.8,3.470333333333333,5.015806451612904,4.222333333333333,5.209677419354839,230.9,27.04433691756272,-2.4492935982947064e-16,1.0,0.0,0
Eastern,Ampara,4,1,2021,2021-01-01,Kalmunai,27.258064516129032,24.23225806451613,25.66774193548387,317.1,317.1,3.008387096774194,16.700000000000003,7.4000015,81.80002,25.758064516129032,26.62333333333333,28.751612903225805,28.133333333333333,433.6,194.0,65.1,106.2,2.980645161290323,3.470333333333333,5.015806451612904,4.222333333333333,314.90000000000003,26.016379928315413,0.49999999999999994,0.8660254037844387,1.6094379124341003,0
Eastern,Ampara,6,2,2021,2021-02-01,Kalmunai,27.925,24.103571428571428,26.064285714285717,69.1,69.1,4.053214285714286,19.575,7.4000015,81.80002,25.66774193548387,25.758064516129032,26.62333333333333,28.751612903225805,317.1,433.6,194.0,65.1,3.008387096774194,2.980645161290323,3.470333333333333,5.015806451612904,273.2666666666667,25.830030721966207,0.8660254037844386,0.5000000000000001,1.9459101490553132,0
Eastern,Ampara,6,3,2021,2021-03-01,Kalmunai,29.16774193548387,24.751612903225805,26.951612903225808,75.1,75.1,4.160645161290322,14.94516129032258,7.4000015,81.80002,26.064285714285717,25.66774193548387,25.758064516129032,26.62333333333333,69.1,317.1,433.6,194.0,4.053214285714286,3.008387096774194,2.980645161290323,3.470333333333333,153.76666666666668,26.2278801843318,1.0,6.123233995736766e-17,1.9459101490553132,0
Eastern,Ampara,10,4,2021,2021-04-01,Kalmunai,30.76,25.636666666666667,28.016666666666666,55.4,55.4,4.878,14.043333333333331,7.4000015,81.80002,26.951612903225808,26.064285714285717,25.66774193548387,25.758064516129032,75.1,69.1,317.1,433.6,4.160645161290322,4.053214285714286,3.008387096774194,2.980645161290323,66.53333333333333,27.010855094726065,0.8660254037844387,-0.4999999999999998,2.3978952727983707,0
Eastern,Ampara,6,5,2021,2021-05-01,Kalmunai,31.72258064516129,26.35483870967742,28.770967741935483,67.7,67.7,4.630967741935484,14.103225806451611,7.4000015,81.80002,28.016666666666666,26.951612903225808,26.064285714285717,25.66774193548387,55.4,75.1,69.1,317.1,4.878,4.160645161290322,4.053214285714286,3.008387096774194,66.06666666666666,27.913082437275985,0.49999999999999994,-0.8660254037844387,1.9459101490553132,0
