Province,District,Dengue_Cases,Month,Year,Date,City,Temp_Max_Mean,Temp_Min_Mean,Temp_Mean,Precipitation,Rain_Sum,Humidity_Proxy,Windspeed_Max,Latitude,Longitude
Central,Kandy,288,1,2019,2019-01-01,Kandy,26.203225806451613,18.799999999999997,22.316129032258065,6.4,6.4,3.5335483870967743,11.061290322580644,7.300003,80.600006
Central,Kandy,229,2,2019,2019-02-01,Kandy,27.025000000000002,20.37142857142857,23.364285714285717,256.59999999999997,256.59999999999997,3.588214285714286,9.667857142857143,7.300003,80.600006
Central,Kandy,231,3,2019,2019-03-01,Kandy,29.593548387096774,19.75483870967742,24.651612903225807,42.7,42.7,4.800645161290323,7.967741935483871,7.300003,80.600006
Central,Kandy,192,4,2019,2019-04-01,Kandy,29.93,22.243333333333332,25.746666666666666,198.70000000000002,198.70000000000002,4.275,6.803333333333333,7.300003,80.600006
Central,Kandy,296,5,2019,2019-05-01,Kandy,29.048387096774192,21.751612903225805,25.106451612903225,42.3,42.3,4.166129032258064,13.241935483870968,7.300003,80.600006
Central,Kandy,289,6,2019,2019-06-01,Kandy,28.633333333333333,22.790000000000003,25.1,65.8,65.8,3.891,17.540000000000003,7.300003,80.600006
Central,Kandy,515,7,2019,2019-07-01,Kandy,28.66774193548387,21.53548387096774,24.67096774193548,112.3,112.3,4.056129032258064,16.293548387096774,7.300003,80.600006
Central,Kandy,677,8,2019,2019-08-01,Kandy,26.758064516129032,21.629032258064516,23.648387096774194,147.8,147.8,3.1796774193548383,16.519354838709678,7.300003,80.600006
Central,Kandy,784,9,2019,2019-09-01,Kandy,27.366666666666667,21.28666666666667,23.82,183.8,183.8,3.5589999999999997,13.023333333333333,7.300003,80.600006
Central,Kandy,1502,10,2019,2019-10-01,Kandy,26.26451612903226,20.629032258064516,22.96451612903226,744.9,744.9,2.838709677419355,7.603225806451612,7.300003,80.600006
Central,Kandy,2444,11,2019,2019-11-01,Kandy,26.846666666666668,20.44333333333333,23.336666666666666,245.9,245.9,3.3233333333333333,7.793333333333334,7.300003,80.600006
Central,Kandy,1493,12,2019,2019-12-01,Kandy,25.980645161290322,20.519354838709678,22.848387096774193,157.0,157.0,2.732258064516129,9.52258064516129,7.300003,80.600006
Central,Matale,62,1,2019,2019-01-01,Matale,27.193548387096776,20.216129032258067,23.419354838709676,9.7,9.7,3.625483870967742,13.819354838709677,7.5999985,80.600006
